sym_x,sym_y,seed_category,corr,p_value,half_life,spread_sharpe,spread_sortino,spread_vol,spread_max_dd,spread_pos_ratio,spread_neg_ratio,n_obs,beta,intercept,is_viable,pair_score,pair_label,risk_return_score,stats_quality_score,macro_score,fundamental_score,structure_score,penalty_total,label_rank,is_clone_like
SPY,MDY,us_core_style,0.9059093139423716,0.3671567082586361,129.27853429674516,0.2573245538884977,0.3761991801587664,0.131100885449503,0.3546181743693131,0.5275167785234899,0.47248322147651,1491.0,1.1412838147487696,-0.9259818691555656,False,0.693571616512248,B,0.5135716165122479,0.2,0.0,0.0,0.1,0.0,3,False
XOP,OIH,us_sectors_rotation,0.900083866602199,0.0200344554358881,61.94364064872845,0.1586082179166136,0.2330706528655564,0.2323739594762837,0.4395336961321154,0.5080536912751678,0.4919463087248322,1491.0,1.075481756719499,-1.185905864126238,False,0.6789428821947391,B,0.3129670009998607,0.3799655445641119,0.0,0.0,0.25,0.0,3,False
XLI,XLF,us_sectors_rotation,0.8979904889337484,0.1215796161608593,80.26066737340021,0.185679975503072,0.2720509787989619,0.105111262020732,0.2432326823720965,0.5161073825503356,0.4838926174496644,1491.0,0.926577230984847,1.316809601870769,False,0.6661452757023019,B,0.3712510070149034,0.2784203838391406,0.0,0.0,0.25,0.0,3,False
NIB,JO,commodities,0.1923057580900643,0.169189465531224,47.47465183159784,0.2336493454932293,0.3861121253685683,0.2769020826484727,0.3756458914931522,0.496080627099664,0.4714445688689809,894.0,-0.0482757697038225,3.5598373514552044,False,0.6579822895495073,B,0.4964149154213641,0.230810534468776,0.0,0.0,0.0,0.0,3,False
BLOK,WGMI,crypto,0.8965182684434095,0.22565909631804,98.56983295187634,0.1819368621150179,0.2571281256579784,0.2854155600585178,0.6617444422632222,0.5427083333333333,0.4572916666666666,961.0,0.7313857427996548,1.4150609977365791,False,0.6486916612303384,B,0.3486916612303383,0.2,0.0,0.0,0.4,0.0,3,False
VNQ,REM,fx_macro,0.7088265240031812,0.0820215140389787,61.676228605332746,0.184353258413726,0.243982123503563,0.1832695253968173,0.3034521229085003,0.5080536912751678,0.4919463087248322,1491.0,0.3320465035718457,3.4063957335346897,False,0.611656642580765,B,0.3490717024080501,0.3179784859610212,0.0,0.0,0.1,0.0,3,False
QUAL,VLUE,thematic_factor,0.8943706637031005,0.2223387063108396,142.80207609198197,0.1730925346953044,0.2687509995746107,0.1434521216406998,0.3062924718938316,0.5140939597315436,0.4859060402684563,1491.0,1.302199882542129,-1.0494116266611622,False,0.5950923849596552,B-,0.3550923849596553,0.2,0.0,0.0,0.25,0.0,2,False
COIN,BKCH,crypto,0.8155374819188881,0.2904819412162482,116.03931020372708,0.1507930802998118,0.2225342980761789,0.5123635920198698,1.0226493812078656,0.4932126696832579,0.5067873303167421,1106.0,1.062249548750508,0.989733061439722,True,0.5886759192890791,B-,0.2886759192890791,0.2,0.0,0.0,0.4,0.0,2,False
RINF,VTIP,fx_macro,0.235451877856408,0.1142006922737487,105.95846444886293,0.2107765227147791,0.2594739245827197,0.1626626014187819,0.3097726967960987,0.5221476510067115,0.4751677852348993,1491.0,-1.2185105989006944,8.181935539075411,False,0.5862723313951368,B-,0.3862128159867609,0.2857993077262513,0.0,0.0,0.0,0.0,2,False
EWJ,EWH,intl_equity,0.5298530803898095,0.7011000376499998,207.5597587940489,0.2946862949677748,0.3981688553637305,0.1927821912796245,0.4234974235164546,0.5174496644295302,0.4825503355704698,1491.0,0.0054885030781825,4.137015166480123,False,0.564934545252057,B-,0.564934545252057,0.0,0.0,0.0,0.0,0.0,2,False
XBI,ARKG,thematic_factor,0.8567791233927371,0.6832585967453475,150.9414870728314,0.2271060973829848,0.3432433599682981,0.217608695845038,0.5186622012080733,0.5120805369127517,0.4879194630872483,1491.0,0.3610421806321325,3.2487535937452305,False,0.5570032053366321,B-,0.4570032053366321,0.0,0.0,0.0,0.25,0.0,2,False
