sym_x,sym_y,seed_category,corr,p_value,half_life,spread_sharpe,spread_sortino,spread_vol,spread_max_dd,spread_pos_ratio,spread_neg_ratio,n_obs,beta,intercept,is_viable,pair_score,pair_label,risk_return_score,stats_quality_score,macro_score,fundamental_score,structure_score,penalty_total
EPI,PIN,intl_equity,0.9152625648885114,0.632510552882264,223.68668733650537,0.23985553469497228,0.43104495769093815,0.14946390061426576,0.33872053897451915,0.4966442953020134,0.5026845637583892,1491.0,1.4790637936239432,-1.1491667393623222,False,0.17481259429913854,C,0.5348125942991385,0.0,0.0,0.0,0.1,0.4
VEU,VXUS,intl_equity,0.9984979322365524,0.09463724483977981,36.625658397091286,0.11170597098171534,0.17611735516139201,0.010671825100847122,0.017931625573619492,0.4865771812080537,0.512751677852349,1491.0,1.00456614469468,-0.049580107838459675,False,0.14008454508616508,C,0.23462948708321735,0.3053627551602202,0.0,0.0,0.0,0.3082988706092064
BND,AGG,credit_rates,0.9574348499763441,2.2090006215328554e-15,2.763618600316872,-0.007616264355401971,-0.008386585069021804,0.01972704079900022,0.027659592667635735,0.5006711409395973,0.4993288590604027,1491.0,1.0312836960440834,-0.44265943442235134,False,0.12595993424292848,C,-0.014040065757069948,0.1999999999999978,0.0,0.0,0.0,0.0
PICK,XME,commodities,0.8477896826177251,0.32521365453086193,139.1744365660665,-0.02537080960771585,-0.03452558846326339,0.19809840285782745,0.5496890733299153,0.5,0.4993288590604027,1491.0,0.42577076104964184,2.0015007909316873,False,0.11946749700140147,C,-0.06053250299859853,0.2,0.0,0.0,0.1,0.0
SPHB,SPYG,thematic_factor,0.8166174833310976,0.21898735608188308,126.68583416809577,-0.05496563988796579,-0.081861352382363,0.19221921081110188,0.4227859032018264,0.48590604026845635,0.5140939597315436,1491.0,1.043601155390584,-0.0912756340748011,False,0.11927569538034358,C,-0.12072430461965641,0.2,0.0,0.0,0.25,0.0
BNDX,BND,credit_rates,0.7270110999665967,0.0002687895468014051,27.117445349711044,-0.11445732806317915,-0.12456209455425961,0.042288991444993845,0.08609533770703992,0.5053691275167785,0.49463087248322146,1491.0,0.9002295798863288,0.03262470218033453,False,0.11643914631193733,C,-0.2033727010053017,0.3997312104531986,0.0,0.0,0.1,0.0
SPLV,SPHB,thematic_factor,0.6142185265887478,0.012758053594522053,38.54596774164908,-0.1177438700081553,-0.15600258545422394,0.14430354981082397,0.263586149580751,0.5120805369127517,0.4879194630872483,1491.0,0.339437686204761,2.6991386814871348,False,0.09885195966610744,C,-0.23221740281772707,0.38724194640547793,0.0,0.0,0.15,0.0
COIN,BLOK,crypto,0.7920506274494505,0.06983194506502569,48.665992795259434,-0.1445135806041653,-0.20985876750050553,0.5249927889927177,0.927256842836,0.488013698630137,0.511986301369863,1169.0,1.509552679394517,-0.25034858873437305,True,0.08378274768820651,C,-0.30733489076627557,0.33016805493497436,0.0,0.0,0.4,0.0
SMH,XSD,thematic_factor,0.9426781923638732,0.4498924593945302,164.67408926765856,-0.005263774838515046,-0.008236294499855419,0.24434919328338964,0.6540311499659488,0.4812080536912752,0.5187919463087248,1491.0,1.4102910408222258,-2.4184117684095128,False,0.07589019601226718,C,-0.024109803987732818,0.0,0.0,0.0,0.25,0.0
DIA,SPY,us_core_style,0.9449859255149631,0.002469213925423087,31.392264925198788,-0.12260858408592362,-0.16701304213522392,0.07434075531244975,0.15603289154993671,0.47516778523489933,0.5248322147651007,1491.0,0.7531866280433771,1.26122759294869,False,0.07563317884062476,C,-0.2426383714115791,0.3975307860745769,0.0,0.0,0.1,0.0
XOP,XLE,commodities,0.9175633791711683,0.1674389103489829,69.64864152504458,-0.07128241085519826,-0.08630407645769463,0.19059089519576392,0.4737678194831565,0.4959731543624161,0.5040268456375839,1491.0,1.0766215935935177,0.8743450832949713,False,0.06162214199046437,C,-0.1411706207652476,0.23256108965101713,0.0,0.0,0.1,0.0
USMV,MTUM,thematic_factor,0.7865297931428673,0.19056250798346575,101.56299385299145,-0.08848992368799038,-0.14037320465421393,0.10654515671591584,0.18964028910247777,0.4671140939597315,0.5328859060402684,1491.0,0.6049536464823629,1.2372178107200003,False,0.056062271683584325,C,-0.19054397272798967,0.20943749201653428,0.0,0.0,0.25,0.0
